psi,rho,rho_fit
3.495000000000000284e+01,1.891562500000007474e-02,1.764249203019685464e-02
3.504999999999999716e+01,1.916250000000006837e-02,1.764132975921051116e-02
3.515000000000000568e+01,1.895937500000006645e-02,1.764033160733957661e-02
3.525000000000000000e+01,1.902500000000007310e-02,1.763947440042124004e-02
3.535000000000000142e+01,1.858437500000007306e-02,1.763873823646477934e-02
3.545000000000000284e+01,1.883750000000008334e-02,1.763810602364906943e-02
3.554999999999999716e+01,1.836562500000006593e-02,1.763756308354397229e-02
3.565000000000000568e+01,1.835312500000007077e-02,1.763709681034980603e-02
3.575000000000000000e+01,1.854687500000007025e-02,1.763669637824683001e-02
3.585000000000000142e+01,1.927187500000007020e-02,1.763635249006373362e-02
3.595000000000000284e+01,1.888750000000006743e-02,1.763605716143223923e-02
3.604999999999999716e+01,1.824062500000006581e-02,1.763580353541710499e-02
3.615000000000000568e+01,1.854062500000007094e-02,1.763558572332007968e-02
3.625000000000000000e+01,1.865937500000007521e-02,1.763539866796154376e-02
3.635000000000000142e+01,1.878125000000006178e-02,1.763523802626715264e-02
3.645000000000000284e+01,1.897812500000006439e-02,1.763510006843255207e-02
3.654999999999999716e+01,1.874062500000006279e-02,1.763498159132692589e-02
3.665000000000000568e+01,1.910312500000006797e-02,1.763487984412365206e-02
3.675000000000000000e+01,1.885000000000007503e-02,1.763479246443228066e-02
3.685000000000000142e+01,1.860937500000006684e-02,1.763471742344896454e-02
3.695000000000000284e+01,1.864687500000006271e-02,1.763465297885208338e-02
3.704999999999999716e+01,1.865625000000006861e-02,1.763459763434860328e-02
3.715000000000000568e+01,1.839375000000006630e-02,1.763455010493369945e-02
3.725000000000000000e+01,1.836875000000005864e-02,1.763450928705478926e-02
3.735000000000000142e+01,1.904687500000006375e-02,1.763447423298969419e-02
3.745000000000000284e+01,1.876250000000006385e-02,1.763444412884174195e-02
3.754999999999999716e+01,1.884375000000006878e-02,1.763441827564299347e-02
3.765000000000000568e+01,1.888125000000005771e-02,1.763439607312539126e-02
3.775000000000000000e+01,1.915312500000006940e-02,1.763437700578324163e-02
3.785000000000000142e+01,1.913437500000006800e-02,1.763436063090451089e-02
3.795000000000000284e+01,1.874062500000007320e-02,1.763434656829165892e-02
3.804999999999999716e+01,1.899062500000006648e-02,1.763433449143403386e-02
3.815000000000000568e+01,1.839062500000005970e-02,1.763432411992688076e-02
3.825000000000000000e+01,1.860937500000006684e-02,1.763431521296093818e-02
3.835000000000000853e+01,1.885625000000007087e-02,1.763430756373096653e-02
3.845000000000000284e+01,1.880937500000006909e-02,1.763430099463464407e-02
3.854999999999999716e+01,1.849687500000006535e-02,1.763429535314819940e-02
3.865000000000000568e+01,1.866562500000006411e-02,1.763429050828552169e-02
